Variation,FeatureExtractor,FeatureName
log-sigma-3-0-mm-3D,gldm,LowGrayLevelEmphasis
log-sigma-3-0-mm-3D,glrlm,RunLengthNonUniformity
log-sigma-3-0-mm-3D,glrlm,ShortRunEmphasis
log-sigma-3-0-mm-3D,glszm,GrayLevelNonUniformity
log-sigma-3-0-mm-3D,glszm,GrayLevelNonUniformityNormalized
log-sigma-3-0-mm-3D,glszm,GrayLevelVariance
log-sigma-3-0-mm-3D,glszm,HighGrayLevelZoneEmphasis
log-sigma-3-0-mm-3D,glszm,LowGrayLevelZoneEmphasis
log-sigma-3-5-mm-3D,firstorder,Entropy
log-sigma-3-5-mm-3D,firstorder,Maximum
log-sigma-3-5-mm-3D,firstorder,Mean
log-sigma-3-5-mm-3D,firstorder,RootMeanSquared
log-sigma-3-5-mm-3D,glcm,Autocorrelation
log-sigma-3-5-mm-3D,glcm,ClusterTendency
log-sigma-3-5-mm-3D,glcm,Correlation
log-sigma-3-5-mm-3D,glcm,Imc1
log-sigma-3-5-mm-3D,glcm,Imc2
log-sigma-3-5-mm-3D,glcm,JointAverage
log-sigma-3-5-mm-3D,glcm,JointEntropy
log-sigma-3-5-mm-3D,glcm,MCC
log-sigma-3-5-mm-3D,glcm,MaximumProbability
log-sigma-3-5-mm-3D,glcm,SumAverage
log-sigma-3-5-mm-3D,glcm,SumEntropy
log-sigma-3-5-mm-3D,glcm,SumSquares
log-sigma-3-5-mm-3D,gldm,GrayLevelNonUniformity
log-sigma-3-5-mm-3D,gldm,GrayLevelVariance
log-sigma-3-5-mm-3D,gldm,HighGrayLevelEmphasis
log-sigma-3-5-mm-3D,gldm,LargeDependenceHighGrayLevelEmphasis
log-sigma-3-5-mm-3D,gldm,LargeDependenceLowGrayLevelEmphasis
log-sigma-3-5-mm-3D,gldm,LowGrayLevelEmphasis
log-sigma-3-5-mm-3D,glrlm,LongRunLowGrayLevelEmphasis
log-sigma-3-5-mm-3D,glrlm,RunLengthNonUniformity
log-sigma-3-5-mm-3D,glrlm,RunVariance
log-sigma-3-5-mm-3D,glrlm,ShortRunHighGrayLevelEmphasis
log-sigma-3-5-mm-3D,glszm,GrayLevelNonUniformity
log-sigma-3-5-mm-3D,glszm,GrayLevelNonUniformityNormalized
log-sigma-3-5-mm-3D,glszm,GrayLevelVariance
log-sigma-3-5-mm-3D,glszm,HighGrayLevelZoneEmphasis
log-sigma-3-5-mm-3D,glszm,LowGrayLevelZoneEmphasis
log-sigma-3-5-mm-3D,ngtdm,Contrast
log-sigma-4-0-mm-3D,firstorder,90Percentile
log-sigma-4-0-mm-3D,firstorder,Entropy
log-sigma-4-0-mm-3D,firstorder,Maximum
log-sigma-4-0-mm-3D,firstorder,Mean
log-sigma-4-0-mm-3D,firstorder,Median
log-sigma-4-0-mm-3D,firstorder,Range
log-sigma-4-0-mm-3D,firstorder,RootMeanSquared
log-sigma-4-0-mm-3D,firstorder,Uniformity
log-sigma-4-0-mm-3D,glcm,Autocorrelation
log-sigma-4-0-mm-3D,glcm,ClusterTendency
log-sigma-4-0-mm-3D,glcm,Correlation
log-sigma-4-0-mm-3D,glcm,Imc1
log-sigma-4-0-mm-3D,glcm,Imc2
log-sigma-4-0-mm-3D,glcm,JointAverage
log-sigma-4-0-mm-3D,glcm,JointEnergy
log-sigma-4-0-mm-3D,glcm,JointEntropy
log-sigma-4-0-mm-3D,glcm,MCC
log-sigma-4-0-mm-3D,glcm,MaximumProbability
